2017-01-01,365,20
6,Black Beatles,Rae Sremmurd,770885,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-04,us
7,Bad Things (with Camila Cabello),Machine Gun Kelly,726097,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-04,us
8,Caroline,Aminé,709420,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx,2017-01-04,us
9,Bounce Back,Big Sean,704667,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,2017-01-04,us
10,I Feel It Coming,The Weeknd,669820,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-04,us
11,Broccoli (feat. Lil Yachty),DRAM,592083,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,2017-01-04,us
12,Don't Wanna Know,Maroon 5,564578,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-04,us
13,Deja Vu,J. Cole,552100,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,2017-01-04,us
14,Let Me Love You,DJ Snake,547136,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-04,us
15,X (feat. Future),21 Savage,531623,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,2017-01-04,us
16,24K Magic,Bruno Mars,529367,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-04,us
17,Say You Won't Let Go,James Arthur,527210,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-04,us
18,Starving,Hailee Steinfeld,509437,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-04,us
19,In the Name of Love,Martin Garrix,506815,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-04,us
20,One Dance,Drake,498653,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-04,us
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1295592,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-05,us
2,Fake Love,Drake,1179992,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-05,us
3,Starboy,The Weeknd,1068015,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-05,us
4,Closer,The Chainsmokers,860364,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-05,us
